id,Title,Release_Year,Genre,Synopsis
682,Забава,2013,драма,"История нескольких героев, которые живут беззаботно и постоянно находятся в поиске новых развлечений. Когда вокруг них случаются преступления, они лишь закрывают глаза на происходящее, не понимая, что однажды рискуют никогда их больше не открыть… 
Фильм повествует о нескольких людях, чьи судьбы кажутся очень разными и не связанными друг с другом, но которые на самом деле объединены общей страстью – наркотиками. Все персонажи имеют свои причины на то, чтобы возвращаться к этому опасному увлечению снова и снова: кто-то пытается заработать на жизнь и осуществление мечты, получить возможность пробиться в большом городе, а кто-то использует наркотики в качестве лёгкой наживы. История героев показывает, как легко можно оступиться в жизни и перейти черту света и тьмы, и как трудно исправить свои ошибки. Картина рассматривает различные жизненные ценности и идею правильного выбора, который каждый для себя определяет сам. 
Удастся ли героям вернуться к свету, пробравшись сквозь безысходность и мрак? Приглашаем вас посмотреть онлайн мощную драму Руслана Бальтцера «Забава». "
683,Кровь,2019,драма,"Художник Валера Ромеев приехал из маленького украинского города в Москву и работает уличным портретистом. Он надеется на помощь своего брата Вадима – столичного бизнесмена, но тот ему отказывает. Все меняет случайная встреча со школьным приятелем.
Валера Ромеев – молодой художник, который жил в шахтерском городе на Востоке Украины. Он всегда мечтал рисовать и поступил в местный художественный вуз, однако быстро бросил учебу. В поисках счастья и успеха герой решил отправиться в Москву. Столица оказывается жестока к парню: Валере приходится сидеть на Арбате и рисовать портреты, зарабатывая копейки и никак не развиваясь в любимом деле.
В надежде на поддержку Валера ищет своего старшего брата Вадима – богатого бизнесмена, который давно уехал в Москву и перестал общаться с семьей. Они встречаются, но Вадим отказывает в помощи и советует добиться всего самостоятельно. Жизнь братьев меняется после встречи Валеры со старым школьным другом…
«Кровь» – драма режиссера Артема Темникова, снятая по мотивам повести Валерия Былинского «Июльское утро». В фильме ощущается притчевое начало и есть отсылки к мировой мифологии – например, к античному сказанию о Ромуле и Реме, имена которых перекликаются с фамилией героев. Посмотрите эту картину в нашем онлайн-кинотеатре."
684,Пленный,2008,военный,"Фильмы про войну бывают очень разные. Одни поражают красивыми батальными сценами и масштабом, другие делают упор на всю тяжесть, грязь и неприглядность войны, третьи стараются раскрыть внутренний мир людей и показать их переживания на войне. Фильм ""Пленный"" относится как раз к последней категории. Он рассказывает про локальную, но от этого не менее жестокую и кровопролитную войну – войну в Чечне. Здесь нет места показному героизму и героическому пафосу, есть война и люди, волею судьбы оказавшиеся по разные стороны баррикад. Главные герои фильма – два русских солдата, которые берут в плен чеченского парня. Казалось бы, военнопленный и конвоиры – это две совершенно разные стороны. Но неожиданно один из солдат проникается к парню глубокой симпатией. Он перевязывает ему раны, разговаривает, защищает от регулярных нападок сослуживцев. Причем происходит это все внезапно и для самого конвоира. Вот так в пылу войны тоже ведь можно понять, что враг – такой же человек. Фильм глубоко философский и даже снят в какой-то особой, отстраненной и неторопливой манере. Смотреть его понравится ценителям умного авторского кино, которое сейчас так редко снимается, особенно в России."
685,Бывшая,2021,ужасы,"Саша любит свою невесту Катю, но неожиданно между ними встает девушка из его прошлого. Одна давняя роковая ошибка приводит к пугающим последствиям, и Катя начинает замечать чье-то мистическое преследование. Стильный молодежный хоррор об отношениях, угрозе соцсетей и расплате за неосмотрительные поступки от режиссера Евгения Пузыревского.

 На что готов подросток, чтобы похвастаться перед друзьями? 16-летний Саша отправил в общий чат фотографию с красивой взрослой девушкой, лежащей с ним в одной постели. Насладившись фурором, он почти забыл о случившемся. Годы спустя это фото снова всплывает на его странице в сети. Момент хуже некуда: у Саши скоро свадьба, и его невеста Катя ругается с ним из-за поста с бывшей. Но когда она убедится, что фотографию опубликовал кто-то другой, станет только хуже. Ведь теперь встает вопрос – кто? Одновременно Катю начинаются мучить кошмары, видения и тревожные предчувствия, связанные с бывшей жениха, способной достать их откуда угодно. Пусть даже с того света. 
Любителям мистических хоррор-триллеров предлагаем посмотреть онлайн фильм «Бывшая»."
686,Защитники,2017,фантастика,"Антон Пампушный, Санжар Мандиев, Себастьян Сисак и Алина Лалина в фантастическом боевике Сарика Андреасяна.

Во времена Холодной войны тайная организация «Патриот» собрала секретный отряд, состоящий из супергероев. В него вошли представители разных национальностей, проживающих в СССР. 
Четыре супергероя: Арсус, Хан, Лер и Ксения, — владеют суперсилой, воплотившей лучшие и самые яркие качества их народов. Арсус, богатырь из Сибири, обладает невиданной силой и возможностью превращаться в медведя, Хан владеет суперскоростью, Лер управляет почвами и камнями, а Ксения может похвастаться способностью управлять водой и становиться невидимой.
Вынужденные скрывать свои таланты, герои встанут на защиту страны только в тот момент, когда над ней нависнет неподдельная угроза. Злодей Август Куратов замыслит использовать новейшие технологии, чтобы создать армию клонов и с ее помощью захватить сначала Москву, а потом и целый мир. Наши соотечественники-супергерои примутся воевать со злом.

Для того чтобы узнать, как дальше будут развиваться события, рекомендуем смотреть онлайн «Защитники»."
687,В Россию за любовью!,2012,комедия,"Актриса Елена Захарова («Спартак и Калашников», «Вернуть Веру», «Ласточки прилетели») в эксцентричной комедия режиссера Армана Геворгяна («SOS, Дед Мороз или Все сбудется!», «Стрелок», «Курортный роман»).

Известный режиссер Станислав Краскович приезжает в родную Россию для работы над постановкой скандальной пьесы «Три служанки одного господина». Но на самом деле он мечтает снова увидеть Марию, актрису, по которой он безнадежно страдает уже много лет и никак не осмеливается на признание. Но, проделав немаленький путь, Станислав узнает, что Мария уже давно замужем, и ее супруг – тот еще подарок, который не прочь завести интрижку с кем угодно.

Тем не менее, Станислав предлагает ей главную роль и приглашает к себе домой, чтобы поговорить о постановке. Но он и не подозревает, что в этом театре служит молодая актриса Катя, готовая на все, чтобы получить роль, а Кристина, жена спонсора постановки, твердо уверена, что роль достанется ей…

Как Станиславу выбраться из этой передряги и объяснить всем, что он ехал в Россию за любовью? Смотреть онлайн эту комедию и узнать ответ можно уже сейчас на нашем сайте."
688,Золотое сечение,2009,приключения,"«Золотое сечение» – приключенческий фильм с яркой картинкой, известными актерами, саундтреком от Бориса Гребенщикова и нетривиальным сюжетом о путешествии питерского клипмейкера в Камбоджу за доставшейся ему по наследству золотой статуэткой Будды, охоту на которую ведут еще и масоны. 
Из французской прессы главный герой фильма Алекс узнает о том, что его дед скончался во Франции много лет назад и оставил ему роскошное наследство. Получив наследство, он оказывается втянут его хранителем в настоящий масонский заговор. Он рассказывает Алексу историю его деда, из которой тот узнает о золотых реликвиях, необходимых для гармоничного существования нашей планеты. За одной из таких реликвий, золотой статуэткой Будды, охотился его дед, за ней же предстоит начать охоту и самому Алексу. Уставший от навязчивого гламура, наш герой едет в Камбоджу навстречу своей судьбе. Узнать об увлекательных приключениях Алекса в Камбодже сможет тот, кто посмотрит «Золотое сечение» онлайн."
689,Замыкание,2021,драма,"История старшеклассницы Тани, которая ненавидит своего пьющего отчима, жестоко притесняющего ее мать. Из любви и жалости к ней девочка пытается навсегда вычеркнуть домашнего тирана из их жизни. Якутский драматический триллер – автобиографическая картина режиссера и сценаристки Татьяны Эверстовой, идейное продолжение фильма «Его дочь». 

 Таня рано потеряла отца. Некоторое время она жила с бабушкой и дедушкой, а впоследствии переехала в дом своей матери и, по словам самой Тани, «попала в ад». Ее мама – тихая и скромная женщина, которая сошлась не с тем человеком. Непутевый отчим оказался опасным пьяницей, способным поднять руку на жену. При этом в глазах посторонних людей он остается миролюбивым и простоватым мужичком, а всю свою злобу и раздражение срывает на домашних. Кроме того, у него есть знакомства в местной милиции. Оказавшись внутри семейного кошмара, юная Таня узнает, что такое ненависть. И если мир без ее отчима станет только лучше, то как удержаться от непоправимого шага? 

Ценителям атмосферного и искреннего авторского кино предлагаем посмотреть онлайн фильм «Замыкание»."
690,Тревожный отпуск адвоката Лариной,2008,триллер,"Украинский детективный фильм «Тревожный отпуск адвоката Лариной» теперь можно смотреть онлайн в нашем интернет-кинотеатре. Снятый в 2008 году фильм о женщине-следователе, во многом напоминает детективные ленты, ставшие на тот момент уже легендарными («Каменская», «Тайны следствия» и т.д.). В главных ролях здесь снялись молодые актрисы Ольга Филиппова («Кармен») и Инна Мирошенко (известна зрителям по множеству сериалов). 
Адвокат Лариса отправляется на отдых из столицы в Подольск к своей подруге-прокурору по имени Тамара. Впрочем, отдохнуть не удается: в городе произошло убийство. На главной площади города был обнаружен обезглавленный труп. Расследование поручили Тамаре, и Лариса решила помочь подруге. Убитый оказался журналистом. Накануне он опубликовал статью о древней городской легенде. «За городом обитает обезглавленный призрак помещика, убитого крестьянами», — писал журналист... Опытный прокурор и адвокат почти сразу отмели мистическую версию происходящего. Неделю назад произошел такой же случай. Вместе с местным оперативником Стасом Лариса и Тамара расследуют таинственное дело о привидении."
691,День города,2021,комедия,"Завершается рабочая поездка главы государства по регионам. Путь президента лежит через непритязательный городок Любякино, к чему местная администрация и простые жители оказываются совсем не готовы. Можно ли за короткий срок облагородить целый город? Они попытаются... Смелая и яркая народная комедия с отличной актерской командой, безудержной иронией, узнаваемыми типажами и… зомби.

 В Любякино президента никак не ждали. Его кортеж меняет маршрут в последний момент из-за скандального ЧП в соседнем городе. Но кто сказал, что в Любякино будет лучше? По всем признакам, наоборот. На грани паники мэр пытается навести на улицах порядок (или хотя бы создать его видимость) и экстренно засыпать яму на дороге. При этом он упускает из виду главную проблему – набирающую обороты зомби-эпидемию, о которой робко умалчивает участковый и местный священник. Тем временем невероятные приключения в Любякино переживает и амбициозная столичная журналистка Светлана. Она надеется взять интервью у самого президента, но вместо этого находит мужчину своей мечты – правда, немного мертвого. 

Смотрите онлайн на IVI сатирическую комедию об абсурде нашей жизни «День города»."
692,За кулисами,2019,комедия,"Четыре истории о непростой жизни работников театра и кино, скрытой от глаз зрителей за темными кулисами. Никто заранее не знает, когда и почему репетиции, съемки или спектакли выйдут из-под контроля. В киноальманах короткометражных новелл «За кулисами» вошли фильмы-участники и призеры российских и международных фестивалей – «Худрук» режиссера Ильи Ермолова, «Без репетиций» Наркас Искандаровой, «Бравист» Эвелины Барсегян и «Всё в ящик» Игоря Каграманова. В фильмах дебютантов снимались такие известные актеры, как Юрий Стоянов, Павел Деревянко, Карина Разумовская («Мажор») и другие. 

 Альманах открывает история о пожилом художественном руководителе театра, испытывающем нужду в деньгах и в кадрах. Другие трудности переживает молодой талант, примеряющий на себя стихотворение «Вот какой рассеянный» Самуила Маршака. Тем временем где-то в театральном зале подставной зритель-бравист встречает свою первую любовь, а один одаренный актер мучается на съемках проходного сериала для домохозяек. 

Приглашаем посмотреть остроумный киноальманах «За кулисами» в нашем онлайн-кинотеатре."
693,Фарт,2005,боевик,"Увлекательные сюжеты про золотоискателей не остались во временах Джека Лондона. Русские режиссеры Роман Хрущ, Игорь Андрейчук, Юлия Покровская и Алексей Злобин решили наглядно доказать это, сняв фильм Фарт. Для зрителя фильм может стать самым настоящим приключением. Гармонично сочетая в себе небанальных героев и яркую неизбитую тему, картина привлекает к себе внимание с первых кадров, обещая полное неожиданностей развитие событий. Вьетнам, Сибирь, поиски сокровищ и перипетии взаимоотношений сулят неослабевающий интерес зрителя. Крутые сюжетные виражи и обилие приключений делают фильм ярким представителем своего жанра. А ведь помимо напряженного сюжета, зрителя ожидает и крайне непредсказуемая развязка, являющаяся эффектным завершающим аккордом, предшествующим событиям. Элементы боевика гармонично дополняют приключения героев. Прекрасный актерский состав обеспечил убедительность происходящего и яркую индивидуальность каждого героя. Словом, фильм является прекрасным детищем жанра приключений и боевика и подарит зрителю немало увлекательных минут, следуя лучшим традициям авантюристского кино. За просмотром этой картины можно провести приятный и интересный вечер."
694,Дар,2019,комедия,"Пожилой рабочий Анатолий случайно открывает в себе талант художника, правда, в спорной технике «уринальной живописи». Его ждет слава в интернете, модные выставки, гонорары и настоящие муки творчества. Остроумная комедия «Дар», снятая по роману Сергея Жмакина «Золотая струя», стала полнометражным режиссерским дебютом сценариста и продюсера Михаила Кукушкина («Неадекватные люди»). В удивительный мир современного искусства вступают герои Алексея Колубкова, Юрия Оборотова, Владимира Карпука и других.

После сорока лет честной трудовой службы на заводе Анатолий Сидоров попадает под сокращение. Новоиспеченный пенсионер топит горе в бутылке, распитой вместе с друзьями, и в тот же вечер находит для себя новое поле деятельности. Оказывается, он прирожденный художник, раскрывшийся в уникальном направлении «уринальной графики». Высокий уровень его работ, сделанных на снегу, подтверждает его непутевый сын-живописец Виктор. Предприимчивая родня находит способ монетизировать дедушкины шедевры. Слава о них разлетается по Интернету, и любители современного искусства предлагают Сидорову щедрые гонорары. Боясь насмешек, «модный» творец сохраняет анонимность и размышляет об истинной ценности своих произведений.

Приглашаем посмотреть комедию «Дар» в нашем онлайн-кинотеатре."
695,Султан Бейбарс,1989,биография,"История о египетском султане Бейбарсе, который проделал путь от бесправного раба до главы огромного царства и обладателя самого сильного флота в Средиземноморье.
Действие исторической картины разворачивается в XIII веке. Ближний Восток раздираем на части крестоносцами и ордами татаро-монгольских завоевателей. В это самое время величественным Египтом правит султан Бейбас, чья история поистине легендарна. 
Родился будущий правитель древнейшего царства в широких кыпчакских степях, откуда его угнали в рабство. Однако оттуда по счастливой судьбе был выкуплен вице-султаном Кутузом.
Талант сильного и острожного воина сразу же выделил бывшего раба среди других, и Бейбарс быстро начал делать военную карьеру, что и привело его, конце концов, на вершину власти. "
696,Враги,2007,военный,"Пронзительная и правдоподобная военная драма «Враги» ставит перед зрителем непростые вопросы и дает неоднозначные ответы. Мы предлагаем посетителям нашего интернет-кинотеатра посмотреть этот фильм онлайн и сделать свои выводы.
Действие происходит в маленькой белорусской деревушке во время Великой Отечественной войны. Здесь, в одном из богом забытых уголков страны, обосновались немецкие солдаты. Местным жителям пришлось в прямом смысле слова жить бок о бок с оккупантами, ведь их расселили по избам. И как это ни парадоксально, белорусы смогли найти общий язык с теми, кого считали безжалостными убийцами. Оказалось, что они такие же люди, как и все остальные, и ничто человеческое им не чуждо. Но война диктует свои условия: героям все же приходится встать по разные стороны баррикад. В нелегком положении оказывается и Наталья, сын которой, судя по всему, попал в плен к фашистам. Когда простая женщина обращается за помощью к коменданту деревни, тот предлагает Наталье «обменять» ее сына на другого ребенка."
697,Очень женские истории,2020,мелодрама,"Киноальманах из пяти короткометражных фильмов, снятых четырьмя женщинами и одним мужчиной. Это откровенные и жизненные истории о десяти героинях, у каждой из которой – своя судьба.
В новелле «Эс, как доллар, точка, джи» режиссера Оксаны Михеевой поднимается тема будущего, в котором принят закон: мужчину можно взять в аренду на некоторый срок, а потом вернуть. Героиня пытается обмануть «госуслуги» и сохранить мужа, хотя он сам не против снова сдаться в аренду.
Вторая короткометражка «Урок рисования для взрослых» Лики Ятковской показывает близких по духу людей. Люба и Вера знакомятся на уроках рисования, чувствуют родство душ и уже не могут расстаться. Так начинаются отношения двух женщин, сложные и запутанные.
В третьей истории «Сестры» от Натальи Меркуловой рассказывается о двух непохожих сестрах – Алле и Нине. Алла страдает от алкозависимости, а Нина живет полной жизнью с семьей и хорошей работой. Успешная женщина решает вытащить свою сестру из бездны и попробовать ее понять.
В фильме «Стиралка» Антона Бильжо раскрывается непростая дружба Веты и Лизы. У Веты есть муж, уютный дом, а истеричная Лиза потихоньку тянет ее на дно, не испытывая за это никакой вины.
В центре драма «Выставка» Анны Сарухановой – юная мечтательная девушка Лена. Однажды подруга уговаривает ее принять участие в выставке и выступить в роли живой статуи. Это заставит Лену взглянуть в глаза своим страхам.

Если вам интересно узнать ответ на вопрос «Чего хочет женщина?», посмотрите киноальманах «Очень женские истории» в нашем онлайн-кинотеатре."
698,Невеста любой ценой,2009,комедия,"Известный стендап-комик, шоумен и телеведущий Павел Воля исполнил главную роль в романтической комедия «Невеста любой ценой». Смотрите онлайн на приключения ловеласа и любимца женщин, который попадает в безвыходную ситуацию и должен придумать, как спасти свою карьеру и, может быть, даже жизнь. Вместе с Волей в фильме снимались Ольга Шелест, Татьяна Геворкян, Любовь Толкалина и Мария Шалаева.
Стас – успешный топ-менеджер и заядлый сердцеед, способный соблазнить любую женщину буквально за секунды. Однажды на него западает жена его самого важного клиента. Выходя от нее с утра, он сталкивается с шофером ее мужа, который заподозревает неладное. Теперь Стасу надо придумать, как спасти контракт, а заодно и остаться в целости и сохранности, потому что обманутый муж шутить не любит. Он решает найти себе невесту в том же подъезде. Но это оказывается не так-то просто. В его поисках ему помогает протеже, с которым он делится премудростями соблазнения, а также миловидная коллега, которая находит неожиданные решения проблем."
699,Самка,2010,комедия,"Ироничная комедия о самой невероятной любви, история новых «красавицы и чудовища», приправленная русским антуражем и бесконечным фарсом. Режиссером, сценаристом, композитором, художником и исполнителем эпизодической роли выступил видный представитель авторского кино Григорий Константинопольский («Восемь с половиной долларов», «Кошечка»). Очаровательную героиню сыграла Екатерина Вилкова, а в образе ее косматого возлюбленного предстал «любимец» режиссера Александр Стриженов. Если вы любите наивные сказки, полные оптимизма, лиричности и продуманного абсурда, тогда рекомендуем посмотреть фильм «Самка» онлайн в нашем интернет-кинотеатре.
В глухой уральской деревушке местные жители поймали снежного человека. За сенсационным репортажем приезжает прелестная журналистка Лариса. Сильный йети ухитряется не просто вырваться из заключения, но и прихватить с собой прекрасную девушку. Он представляется ей Иваном и обещает познакомить со своими родителями. Но, как часто бывает с мужчинами, его слова не соответствуют действительности. Оказывается, Ванечка женат и не похож на сказочного принца не только внешностью, но и поведением. Несмотря ни на что, Лариса начинает испытывать к нему теплые чувства."
700,"Жаным, ты не поверишь!",2019,комедия,"Молодой Дастан, чья жена вскоре должна родить первенца, устал от семейной рутины. Чтобы развеяться, он сбегает на рыбалку вместе с друзьями, но его идеальные выходные нарушают непредвиденные обстоятельства. 
Дастан и его жена ждут появления на свет своего первого ребёнка, но чем ближе становится дата родов, тем чаще супруги ссорятся из-за бытовых мелочей. Однажды Дастан устаёт от постоянных разборок с любимой и решает хотя бы ненадолго отдохнуть от семейных проблем. Он сбегает к своим друзьям – бизнесмену и полицейскому – чтобы отправиться вместе с ними на рыбалку, но планам компании не суждено сбыться: мужчины попадают в невообразимую ситуацию, выбраться из которой оказывается довольно проблематично. приключения, которые неожиданно выпадают на долю Дастана, заставляют его многое переосмыслить и переоценить.
Чёрная комедия Ернара Нургалиева – первая картина такого жанра в казахстанском кино. Лента понравится всем любителям историй со странными и неожиданными сюжетными поворотами. Приглашаем вас посмотреть необычный и уморительный фильм «Жаным, ты не поверишь» в нашем онлайн-кинотеатре."
701,Украинская вендетта,1990,военный,"Честная труженица и мать семейства из украинского села Ульяна Кащук переживает трагедию: ее сына убивают предатели-полицаи, перешедшие на сторону немецких оккупантов. Отважная Ульяна берет в руки оружие, чтобы самостоятельно совершить возмездие. Военную драму о народной мстительнице «Украинская вендетта» в 1991 году снял режиссер Владимир Крайнев. В основу сюжета легла повесть Анатолия Димарова. В фильме снимались Елена Финогеева, Николай Гудзь, Николай Волошин, Валерий Легин.

Великая Отечественная война, украинская глубинка. В село, где счастливо жила с семьей простая работающая женщина Ульяна Кащук, входят немцы. Местные жители делятся на два лагеря: тех, кто ненавидит фашистов, и тех, кто пытается им угодить. От рук предателей, желающих выслужиться перед офицерами-оккупантами, погибает молодой сын Ульяны Коля. Безутешная мать, узнав о случившемся, клянется отомстить всем, кто совершает в ее селе жестокие расправы.

Военную драму о сильной женщине и материнской мести «Украинская вендетта» можно посмотреть онлайн на нашем сайте."
702,Невеста,2017,ужасы,"Первый по-настоящему техничный и оригинальный русский ужастик о молодой невесте Насте, которая невольно становится заложницей жуткой семьи своего жениха. В главных ролях – дебютантка Виктория Агалакова, Вячеслав Чепурченко («Измены») и Александра Ребенок («До свидания мама», «Братья Ч»).

Зарегистрировав брак в загсе, Настя и Иван едут в старинную усадьбу, где живут родственники Ивана, настаивающие на том, что настоящая свадьба должна пройти здесь и больше нигде. Соглашаясь на поездку, Настя не сразу понимает, как опасны могут быть заигрывания с древними традициями.

Родственники Ивана совсем не похожи на ее любимого и ведут себя крайне странно, а по всему особняку, который бог весть как сохранился таким – винтажным и мрачным – в нашем веке, развешаны ужасающие старые дагерротипы… Новоиспеченная родня рассказывает ей о том, что перед тем, как стать Ивану законной супругой, девушка должна пройти через некую церемонию. Каждые несколько лет возлюбленная мужчины из этой семьи должна впустить в себя душу давно умершей Невесты…

Смотреть онлайн этот атмосферный хоррор, который действительно способен удивить любителей жанра, можно уже сейчас на нашем сайте."
703,Побочный эффект,2008,драма,"Журналист Павел встречает на вечеринке женщину, которая беззвучно просит его о помощи. Он решает разобраться, что происходит, и спасти её, не зная, к каким последствиям это приведёт… 
Павел Гричихин – главный редактор издания, которое пишет о жертвах домашнего насилия. Однажды на светском мероприятии Павел видит испуганную девушку, которая явно нуждается в помощи. Гричихин становится свидетелем пугающей сцены: незнакомка принимает какие-то лекарства под строгим надзором мужа.
Журналист понимает, что дело требует дополнительного расследования, и хочет помочь несчастной. Павел знает, что происходящее могло бы стать хорошей сенсацией, но совесть не позволяет ему цинично использовать чужую историю. Чтобы спасти незнакомку от мужа-тирана, Павел помогает ей уехать. Беглецы прячутся в загородном пансионате, где вскоре происходит череда убийств…
Кто на самом деле виновен в преступлениях? Какие тайны скрывает беззащитная девушка? Приглашаем поклонников криминальных мелодрам посмотреть онлайн фильм «Побочный эффект»."
